PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5856,9.385349,-2.388938,-1.083471,-0.235199,-0.071335,-0.006152,-121.911196,-75.488849,-72.679793
5857,9.50303,-2.368848,-0.995792,-0.236776,-0.097019,-0.034616,-122.269221,-75.474466,-72.450571
5858,9.607822,-2.454252,-0.925688,-0.220321,-0.12265,-0.05319,-122.687181,-75.460812,-72.149509
5859,9.51665,-2.265928,-0.804304,-0.177599,-0.140575,-0.073625,-123.137622,-75.450807,-71.789842
5860,9.58636,-2.124863,-0.871186,-0.183877,-0.172271,-0.090728,-123.670341,-75.438236,-71.34861
5861,9.582521,-2.275915,-1.146821,-0.167079,-0.187905,-0.110841,-124.245705,-75.42914,-70.853581
5862,9.293193,-2.13565,-1.259916,-0.161723,-0.185123,-0.13307,-124.840489,-75.430175,-70.335078
5863,9.334225,-2.284089,-1.555087,-0.212549,-0.206729,-0.154902,-125.530956,-75.432834,-69.748141
5864,9.554652,-2.15949,-1.570247,-0.19169,-0.194165,-0.176627,-126.215725,-75.448027,-69.154432
5865,9.370765,-2.000092,-1.481795,-0.191139,-0.182073,-0.20134,-126.912731,-75.476839,-68.548259
5866,9.608133,-1.893515,-1.648067,-0.164459,-0.173605,-0.21972,-127.606993,-75.5152,-67.928779
5867,9.356809,-1.764347,-1.654077,-0.125442,-0.151361,-0.238944,-128.269562,-75.56824,-67.319354
5868,9.319248,-2.001879,-1.669856,-0.032782,-0.130961,-0.260855,-128.879112,-75.636693,-66.709738
5869,9.536145,-1.990568,-1.672606,0.054319,-0.116799,-0.276033,-129.441169,-75.715443,-66.098099
5870,9.429681,-2.202615,-1.862597,0.134208,-0.085146,-0.296084,-129.938373,-75.813229,-65.506118
5871,9.036606,-1.952493,-1.830741,0.224456,-0.058311,-0.315859,-130.373577,-75.928346,-64.925376
5872,8.998212,-1.409609,-1.858514,0.251312,-0.058017,-0.312943,-130.797026,-76.041293,-64.340831
5873,9.357894,-0.568479,-1.706278,0.214693,-0.049252,-0.285302,-131.191586,-76.144497,-63.808159
5874,9.735431,-0.582283,-1.105155,0.103985,-0.07527,-0.240825,-131.633423,-76.21786,-63.292103
5875,10.381392,-1.515026,-1.521052,0.049083,-0.068933,-0.193367,-132.025987,-76.272493,-62.859389
5876,10.112349,-1.752315,-1.651568,0.106099,0.000165,-0.188491,-132.261195,-76.351045,-62.555042
5877,9.59565,-1.719448,-1.891757,0.063688,-0.003997,-0.204922,-132.557328,-76.434649,-62.213126
5878,9.690519,-2.04471,-2.09526,0.106056,0.009062,-0.21655,-132.82929,-76.527779,-61.871222
5879,9.831201,-1.643739,-1.586925,0.182534,0.072434,-0.227576,-132.967987,-76.649918,-61.621562
5880,9.978186,-1.83679,-1.408373,0.122204,0.083602,-0.210047,-133.096021,-76.768994,-61.418364
5881,9.786091,-2.378664,-1.461203,0.163944,0.090355,-0.221966,-133.210948,-76.895559,-61.204328
5882,9.699767,-2.01026,-1.438341,0.12489,0.055603,-0.235796,-133.437978,-77.014122,-60.898136
5883,9.591996,-1.792264,-1.591002,0.199903,0.032757,-0.268674,-133.724967,-77.136889,-60.486748
5884,9.513001,-1.737974,-1.274532,0.17618,-0.014326,-0.286588,-134.149634,-77.247861,-59.94803
5885,9.802891,-1.770715,-0.565887,0.192767,-0.054907,-0.28611,-134.645483,-77.341365,-59.326894
5886,9.711603,-1.761671,-0.547356,0.19713,-0.123063,-0.304707,-135.304573,-77.413466,-58.53604
5887,9.8553,-2.380175,-0.394822,0.214347,-0.226909,-0.314507,-136.165128,-77.444588,-57.529026
5888,9.873896,-2.262063,-0.321049,0.384056,-0.274505,-0.338217,-137.061408,-77.461848,-56.385692
5889,9.724702,-2.051577,-0.467016,0.458884,-0.347445,-0.348326,-138.061641,-77.447982,-55.092539
5890,9.945328,-1.886738,-0.802039,0.606515,-0.390489,-0.344136,-139.038857,-77.409269,-53.735581
5891,9.915848,-1.285606,-1.037491,0.698749,-0.351362,-0.309271,-139.822471,-77.369967,-52.523242
5892,9.800892,-1.215017,-1.831974,0.700911,-0.345532,-0.268155,-140.508567,-77.314838,-51.408767
5893,9.66086,-0.617072,-2.553432,0.746092,-0.282639,-0.231934,-140.988755,-77.271864,-50.479176
5894,9.40314,-0.261567,-2.979391,0.645937,-0.262174,-0.19628,-141.419367,-77.223741,-49.658524
5895,9.502971,-0.639084,-3.298766,0.59638,-0.224745,-0.16032,-141.743788,-77.178312,-48.976163
